duration,artist_familiarity,artist_hotttnesss,tempo,loudness,key,time_signature,end_of_fade_in,mode,start_of_fade_out,song_hotttnesss
240.74404,0.593416049,0.395709548,135.535,4.878,2,7,0,0,240.744,0.543052864
192.20853,0.631946666,0.380704536,139.189,23.988,2,3,0.357,1,183.229,0.608500079
152.0322,0.20107756,0,128.598,9.414,8,5,0.479,1,143.871,0.21
428.56444,0.81444811,0.60797181,105.994,8.403,4,3,4.267,0,414.697,0.659304669
654.28853,0.780461749,0.574274731,118.433,5.884,7,4,3.048,0,638.462,0.626612803
306.72934,0.605874049,0.433945514,96.007,6.929,11,4,0,1,276.149,0.270775999
127.05914,0.635757022,0.379436972,148.357,12.772,2,4,0.322,1,114.724,0.494489518
44.35546,0.786427083,0.512226738,136.164,18.147,1,4,0,0,44.355,0.304169503
140.66893,0.727230315,0.476559379,89.495,28.347,6,4,0.078,0,135.285,0.519448581
143.0722,0.075124762,0.370194701,99.408,15.351,0,4,0.32,1,133.724,0.23
124.15955,0.567814264,0.376688631,133.729,4.793,11,1,0.38,1,122.015,0.405652196
167.3922,0.698770478,0.399451724,139.136,17.623,4,4,0.131,0,163.149,0.445454525
190.24934,0.682045692,0.373464228,75.031,4.172,4,4,0,0,185.289,0.543052864
187.53261,0.450852685,0.33238987,97.981,23.527,11,1,0,1,180.355,0.350979506
329.35138,0.602555589,0.389535576,111.079,7.672,2,4,0,1,316.883,0.570850642
244.45342,0.539181188,0.276702625,146.577,6.885,6,5,0,1,227.794,0.235846203
388.28363,0.684994897,0.415517083,132.506,16.433,0,4,2.49,1,383.994,0.26396982
345.93914,0.761362238,0.467110649,153.862,6.951,2,4,0.416,1,339.754,0.447135796
261.74649,0.681598553,0.537537201,124.086,9.628,0,4,3.489,1,250.921,0.714046553
216.60689,0.73118423,0.549204384,145.518,3.736,9,4,0.177,1,214.192,0.413739836
271.77751,0.332330882,0,90.648,6.947,0,3,0,1,267.761,0.319565987
133.27628,0.632242851,0.453435791,89.86,15.736,5,1,0,1,117.661,0.360370583
264.69832,0.916058238,0.535408379,156.097,5.871,9,4,0,1,251.141,0.566988444
235.80689,0.458055179,0.371760895,101.03,9.716,10,4,0.131,0,235.807,0.253834736
192.1824,0.618002715,0.349476327,155.038,6.258,6,4,0.27,1,192.182,0.519403046
418.87302,0.465194733,0.36228409,117.168,11.702,1,3,0.264,1,411.481,0.437351761
198.26893,0.483703807,0.351624469,132.967,14.509,2,1,0,0,193.782,0.676548906
397.26975,0.574400789,0.446071584,95.882,6.788,9,4,0.392,1,397.27,0.460541281
229.79873,0.44104996,0.353000688,135.175,12.772,4,3,0.205,1,226.441,0.495293621
327.8624,0.693009204,0.498668875,125.975,6.531,0,4,0.38,1,316.447,0.688521844
286.30159,0.81592342,0.555138322,154.09,6.933,1,4,0.177,1,273.601,0.557880389
218.8273,0.847081688,0.625080481,186.254,3.803,4,4,0.194,1,218.827,0.696469437
303.04608,0.499939221,0.37444943,210.47,10.57,1,4,0.102,1,292.664,0.215080319
191.81669,0.679519208,0.491828704,90.084,38.525,9,1,3.146,1,179.868,0.545230294
177.24036,0.720808697,0.467133519,106.698,1.843,2,1,0.107,1,171.404,0.447135796
233.58649,0.780461749,0.574274731,89.78,3.937,2,4,0.229,1,233.586,0.784194616
38.3473,0.400433513,0.266275286,107.177,16.006,9,7,0,0,38.347,0.214253449
181.55057,0.717991695,0.497711444,120.097,9.334,1,4,0.133,1,173.761,0.621765583
173.24363,0.621213511,0.37425994,88.835,6.021,8,4,0.09,1,161.414,0.606816327
241.52771,0.804523521,0.586433379,108.264,7.255,10,4,0,0,229.837,0.873702495
106.52689,0.444926413,0.344814469,97.76,12.385,9,4,4.104,0,106.527,0.323112121
224.28689,0.588370653,0.413237884,241.877,4.779,10,4,2.409,1,217.623,0.537503904
340.29669,0.711165787,0.466826993,91.328,11.356,7,4,0.374,1,327.396,0.547324832
216.55465,0.510794577,0.394127577,130.062,8.147,8,4,3.17,1,209.537,0.494357324
279.2224,0.690080124,0.466775622,68.734,6.582,11,4,2.009,0,265.834,0.360370583
234.44853,0.626436382,0.374271174,102.055,10.173,10,1,0.374,0,222.546,0.345802234
155.95057,0.39413854,0.291539727,109.065,14.123,2,1,0.299,1,144.283,0.462643183
256.80934,0.583231605,0.411448143,201.802,7.307,7,3,0,1,242.95,0.405115722
109.37424,0.698770478,0.399451724,61.883,18.349,6,1,2.258,1,101.825,0.615372256
239.98649,0.473626728,0.378498493,144.836,5.627,9,3,5.939,0,226.476,0.193857803
229.642,0.80113645,0.605507136,108.499,1.998,2,4,0,1,226.22,0.658623927
153.20771,0.062570763,0.233131687,88.935,8.798,0,4,0,1,146.431,0.194735229
316.65587,0.668509447,0.506545319,91.69,5.934,4,4,0.164,1,311.664,0.274281704
182.09914,0.787098355,0.634412385,210.8,10.7,1,7,0,1,182.099,0.31276992
205.21751,0.655359115,0.405031298,82.205,4.332,4,4,0.386,1,195.785,0.419674279
316.73424,0.60542429,0.409292117,162.682,15.54,3,4,0.165,1,307.177,0.531612769
153.28608,0.564512291,0.3268453,125.558,7.535,1,4,0,1,147.696,0.721572661
465.60608,0.487220327,0.44974631,134.014,5.533,1,4,0.409,1,458.455,0.582918458
247.77098,0.842368944,0.604655128,85.157,8.901,5,4,0,1,233.982,0.352232225
165.98159,0.44240829,0.258671268,86.162,15.915,1,4,0,1,156.624,0.274073578
368.16934,0.362358559,0.298372721,93.106,8.489,11,4,0.288,0,351.469,0.319565987
266.4224,0.542512528,0.403784235,80.149,5.947,6,4,0,0,266.422,0.636287224
316.49914,0.6051397,0.420937755,95.981,14.544,2,4,2.061,1,303.148,0.761303218
224.60036,0.68550363,0.446732968,210.871,13.256,8,4,0.085,1,219.214,0.425124658
270.602,0.524265131,0.372232889,192.702,10.754,2,5,0.504,1,265.752,0.473346541
173.19138,0.018917567,0,98.11,8.372,3,4,5.05,0,167.3,0.24
218.38322,0.47013483,0.320517791,118.595,4.37,7,4,0.199,0,211.011,0.400443466
337.68444,0.654594982,0.396356237,174.993,5.134,4,4,0,0,326.995,0.392008771
207.43791,0.476747681,0.294053193,97.538,11.255,9,4,0.537,1,198.159,0.419125893
29.54404,0.021492905,0,95.225,11.494,6,3,0,1,29.544,0.24
197.19791,0.331874146,0.3228233,159.233,16.113,7,1,0,1,185.481,0.253834736
326.00771,0.575674218,0.366820788,100.415,17.492,0,4,0,1,320.012,0.662493161
305.162,0.713274972,0.377593082,105.003,6.301,9,4,0.189,1,283.527,0.599660358
279.97995,0.902062927,0.554633231,110.218,6.294,7,4,0,0,265.131,0.888813538
75.67628,0.451977717,0.331351565,186.882,22.752,11,3,0,1,75.676,0.427446571
290.55955,0.837872047,0.532803542,113.995,4.169,1,4,0.119,1,290.56,0.684613086
363.85914,0.589903022,0.420692588,90.199,6.977,4,1,0.233,1,355.776,0.64068403
282.43546,0.602868067,0.449002436,111.032,14.041,10,3,0.156,0,278.082,0.334706549
75.57179,0.806762596,0.580095045,100.032,7.626,6,4,0,1,75.572,0.215080319
338.1024,0.44802055,0.369535728,185.88,6.318,1,4,0,1,333.769,0.401486711
298.10893,0.6051397,0.420937755,94.031,12.811,0,5,0.177,1,288.044,0.673875572
213.49832,0.758678715,0.557562472,202.233,5.537,2,4,0.374,1,213.498,0.590252715
351.08526,0.560557984,0.452789477,133.405,7.513,7,5,0,1,343.748,0.428702263
305.89342,0.628886848,0.310754057,124.872,4.053,5,1,0,1,302.817,0.334706549
135.52281,0,0.387635478,169.878,13.781,0,4,0.466,1,129.927,0.2
221.67465,0.842431482,0.526458223,91.483,2.838,2,4,0,1,202.374,0.270775999
261.74649,0.571422802,0.423356106,76.296,15.008,9,3,0.2,1,250.16,0.340922756
225.67138,0.528835698,0.343133497,116.984,6.908,7,4,0.392,1,219.87,0.265861049
152.0322,0.03863811,0,168.558,10.274,8,4,0.097,1,147.441,0.24
193.64526,0.851218064,0.510490081,174.019,5.797,4,4,4.29,0,184.082,0.304169503
196.72771,0.79309437,0.568491815,183.808,5.386,9,4,0,0,183.687,0.528782481
281.46893,0.560882279,0.345063467,92.044,4.583,1,3,0.357,0,275.725,0.425124658
224.20853,0.67161064,0.421973968,126.806,5.893,9,4,0,0,214.866,0.524969055
361.53424,0.494073815,0.328073305,160.731,4.228,6,4,0,0,356.525,0.255519804
340.11383,0.457207166,0.320919611,112.097,12.752,10,4,0,0,333.201,0.525497119
280.13669,0.695416519,0.412110495,125.147,13.078,0,4,0.148,1,270.501,0.503381236
277.2371,0.749395045,0.464517526,140.026,3.573,11,4,0,0,272.881,0.573019828
120.92036,0.221726078,0.282402199,147.576,25.146,7,1,0.746,1,110.475,0.23
492.30322,0.684994897,0.415517083,193.56,12.091,9,4,5.254,1,480.403,0.639248489
309.65506,0.27585437,0.423356106,111.663,13.481,0,4,0,1,301,0.266955186
81.97179,0.581884359,0.347006921,100.76,6.746,2,4,0.2,0,76.167,0.299877488
757.99465,0.185774967,0,163.67,16.077,2,4,0.444,0,744.96,0.23
281.88689,0.499302193,0.387294172,98.151,6.608,0,4,0.09,1,272.765,0.407901717
122.69669,0.27790004,0.116156134,103.29,7.458,2,4,0.067,1,115.386,0.2
338.36363,0.224787871,0.24305321,65.054,14.952,3,4,0,1,330.362,0.22
256.62649,0.50373879,0.359290849,161.796,12.102,1,4,0,1,241.801,0.225940273
197.17179,0.27585437,0.423356106,230.992,12.01,0,4,0,1,197.172,0.24
291.02975,0.710203377,0.51484988,179.988,4.507,7,3,0,1,271.72,0.660344383
293.27628,0.516618213,0.412390713,90.008,5.568,2,4,0,1,293.276,0.249944546
334.78485,0.756063871,0.491468882,95.816,9.636,1,4,0.236,1,322.554,0.578658188
237.42649,0.758678715,0.557562472,80.41,4.621,7,4,2.786,1,227.498,0.542307526
271.5424,0.718381342,0.455825979,150.086,3.536,6,4,0.119,0,267.633,0.716321271
269.87057,0.375962133,0.349873381,173.936,8.089,5,4,0.113,0,258.728,0.247625764
266.73587,0.831240277,0.737884133,117.984,7.834,6,4,2.566,1,252.54,0.622435137
312.76363,0.60773432,0.448452837,153.551,3.319,8,4,0.297,0,308.227,0.212045405
172.19873,0.752365974,0.440107997,131.079,4.806,6,4,0.415,1,170.156,0.660369706
288.36526,0.561487776,0.333596877,132.973,10.895,2,1,0.543,0,280.729,0.476248227
180.97587,0.830884642,0.776167742,142.68,3.637,2,4,2.635,1,172.054,0.784712266
217.41669,0.415784608,0.307902094,107.185,7.041,1,4,0.147,1,214.367,0.451934553
150.20363,0.544835431,0.331863557,101.485,11.927,0,3,2.426,1,144.126,0.375984302
204.93016,0.574984394,0.317016495,90.636,4.941,11,4,0.305,1,195.141,0.445454525
515.97016,0.224787871,0.24305321,61.487,13.103,8,5,0.102,1,495.537,0.25
257.59302,0.36766771,0.234169894,121.232,9.224,0,4,0.27,1,249.347,0.239577511
251.81995,0.633313608,0.419860994,229.913,8.654,2,3,0,0,238.51,0.400039657
59.89832,0.501246444,0.354825639,75.127,27.806,1,1,0,1,59.898,0.288481643
261.90322,0.533724477,0.370747684,106.769,6.206,10,4,0.212,0,257.62,0.697181542
365.71383,0.563845985,0.344540601,120.876,14.979,9,5,0,1,360.124,0.375984302
101.14567,0.739684335,0.553596233,144.954,4.179,7,4,0,1,94.668,0.237845943
222.11873,0.484893131,0.344871922,147.661,8.471,11,4,0,1,215.568,0.492299861
281.75628,0.262129375,0.175955738,172.287,6.816,8,4,0.239,0,268.864,0.192726916
113.60608,0.547938241,0.374791219,100.15,11.661,2,1,0.223,1,110.022,0.23979456
195.36934,0.731065756,0.509878708,140.259,6.481,5,4,0.107,1,184.941,0.603030145
193.72363,0.462996094,0.329391949,91.538,9.131,4,4,0.763,1,185.707,0.241524482
261.53751,0.705745818,0.359064296,111.936,6.825,1,4,0.253,1,257.295,0.215080319
262.55628,0.508636229,0.372119119,93.015,7.499,2,4,0.396,1,251.699,0.457447167
1030.19057,0.731208047,0.547506775,70.649,18.91,0,5,0.189,1,1027.483,0.499445835
293.92934,0.597113363,0.376556981,163.567,9.464,5,4,0.212,0,276.59,0.511424326
159.29424,0.633220624,0.410247407,81.586,10.453,1,5,0.347,1,151.684,0.392008771
223.89506,0.686720834,0.408091819,113.058,9.899,2,1,0.148,0,214.808,0.405052003
174.81098,0.606675278,0.369674093,86.62,3.235,7,4,0.154,1,169.558,0.569275651
307.56526,0.510783846,0.349013498,100.051,5.959,0,4,0.259,1,300.716,0.565451012
216.86812,0.523633032,0.348350022,179.575,13.774,11,1,0.195,0,206.954,0.265861049
146.59873,0.664182058,0.502848779,160.009,7.249,0,4,0,1,143.139,0.653815561
273.65832,0.563048689,0.34822673,87.976,3.865,5,7,0.241,0,269.183,0.319565987
321.33179,0.505602748,0.345717932,132.858,9.846,0,4,0.265,1,300.304,0.265861049
203.75465,0,0,99.487,14.816,9,4,0.293,1,200.696,0.345802234
140.64281,0.299117766,0,117.671,9.996,0,3,0,0,140.643,0.2
148.1922,0.833178526,0.804219797,115.066,19.976,4,1,0,1,141.398,0.701124286
230.3473,0.616436885,0.409464909,91.191,8.734,11,1,0.432,1,225.547,0.334706549
286.32771,0.589694605,0.383863704,125.916,9.903,9,3,7.668,0,259.884,0.408110884
225.12281,0.851351443,0.582346374,200.716,7.315,7,1,0.17,1,219.655,0.674164746
250.3571,0.646021343,0.408801073,125.086,5.766,7,1,0.071,1,250.357,0.538200452
254.56281,0.558475816,0.40788797,150.013,5.208,7,4,0,1,254.563,0.405115722
190.48444,0.496406259,0.330753889,66.988,11.549,5,4,0.432,1,185.794,0.265861049
251.37587,0.60425956,0.461023016,126.533,10.85,0,4,2.914,1,241.493,0.260338243
234.55302,0.634441713,0.423117944,115.033,6.931,8,4,1.042,1,226.267,0.590240598
123.71546,0.515847654,0.35312499,178.725,12.677,9,1,0.342,1,112.414,0.334706549
504.05832,0.629301806,0.450779891,154.172,10.586,8,4,0,1,497.348,0.301681757
269.7922,0.465194733,0.36228409,94.554,10.483,0,3,0.241,1,258.142,0.535575222
199.13098,0.546788717,0.37082899,196.188,4.314,5,4,0,1,192.441,0.288481643
362.31791,0.644519692,0.405618982,90.027,6.762,2,4,3.065,1,350.372,0.675696807
340.79302,0.859513993,0.812307796,101.08,5.66,7,4,3.93,1,331.952,0.437909889
231.18322,0.657406765,0.422472423,92.98,9.647,5,1,0.104,1,217.298,0.997758396
352.67873,0.697887822,0.435144672,80.484,6.282,0,4,0,1,344.213,0.450762242
81.50159,0.668087296,0.459387425,143.291,14.891,8,1,0,0,73.903,0.345802234
256.522,0.796337059,0.582921576,107.845,3.91,10,4,0,0,245.609,0.824432869
289.54077,0.711017021,0.432695229,137.534,7.719,11,3,0.061,1,266.037,0.525497119
280.45016,0.403984635,0.454159694,97.02,6.876,7,4,6.844,1,266.223,0.646995747
270.52363,0.739099282,0.471126715,176.066,7.803,10,3,0,0,270.524,0.742185319
265.22077,0.822316236,0.508813195,185.094,2.542,10,4,0.096,0,254.108,0.604088178
51.61751,0.639249552,0.413885098,86.571,5.728,10,1,0.549,1,51.618,0.454042766
281.41669,0.555966789,0.338110388,197.458,5.799,7,4,0.148,1,276.364,0.569275651
246.96118,0.804523521,0.586433379,142.116,6.033,8,4,0.34,1,235.265,0.850282902
252.3424,0.852136187,0.78033412,167.486,3.028,1,4,0,1,244.941,0.801014141
273.55383,0.456599589,0.186396319,117.329,6.464,2,4,0.496,1,262.194,0.227016697
331.07546,0.489537502,0.343389815,105.535,15.624,10,4,0.131,0,312.628,0.427446571
256.02567,0.739454874,0.513339196,88.02,5.648,9,1,0.067,0,244.825,0.682574648
254.01424,0.724284927,0.501360613,127.745,7.199,7,4,0.131,1,243.125,0.535106025
182.20363,0.054708809,0,63.007,11.415,0,1,2.426,1,172.095,0.198586716
240.43057,0.537908276,0.417727338,97.148,4.714,1,4,0.618,1,229.976,0.714329037
333.24363,0.679011869,0.360871465,95.973,4.141,7,4,0.16,1,324.865,0.443695061
194.35057,0.796493402,0.510324986,151.5,13.047,7,4,0.34,1,183.844,0.419674279
298.37016,0.604820432,0.383877494,111.903,6.311,9,4,0.255,0,281.141,0.503381236
359.6273,0.844039532,0.524378988,141.334,10.609,6,1,2.955,1,346.448,0.549342332
247.7971,0.620041695,0.364975595,86.665,12.649,5,4,3.117,1,232.409,0.427446571
221.12608,0.670615396,0.503151606,70.331,21.978,7,1,0,1,211.302,0.212045405
234.52689,0.834538586,0.477310881,167.909,6.022,4,4,0.16,1,229.825,0.638297906
227.05587,0.422787884,0.395247623,117.454,14.489,7,4,0.177,1,218.645,0.257416046
290.97751,0.685691649,0.542502096,121.773,15.546,7,4,0.177,1,258.885,0.392008771
229.8771,0.55785785,0.369823447,140.984,8.952,9,4,0.351,0,226.4,0.300592881
181.02812,0.852638932,0.535763158,126.14,6.446,1,4,0.154,1,181.028,0.33888672
44.64281,0.603383145,0.422127199,146.894,16.504,1,1,0,0,44.643,0.323112121
324.85832,0.826513629,0.628228387,102.756,10.086,7,3,0,1,314.23,0.546635489
183.30077,0.419034024,0.29398439,147.679,8.579,4,1,0.165,1,175.903,0.270775999
286.27546,0.747684012,0.529995833,145.917,7.74,4,1,0,0,282.529,0.771471753
298.13506,0.628290857,0.36416381,64.006,4.683,0,1,0.415,1,283.347,0.642091038
124.94322,0.526646055,0.352342013,120.703,7.31,11,4,0.415,1,120.32,0.480238748
326.42567,0.669726188,0.427914247,95.111,24.83,5,3,0,1,304.303,0.215080319
357.85098,0.664559979,0.397569595,125.995,8.525,7,5,0,1,342.703,0.265861049
233.76934,0.437814943,0.336186128,140.13,5.779,5,4,0.38,0,229.82,0.509039914
201.87383,0.796797414,0.453259925,113.326,4.998,10,4,0,0,184.395,0.692329927
208.90077,0.452983132,0.328094925,89.927,10.196,0,4,0,1,205.566,0.332070982
227.36934,0.50087616,0.379228069,121.981,8.521,2,4,0.972,1,213.804,0.542965638
180.00934,0.429349278,0.277789967,90.177,13.512,2,4,0.845,0,175.421,0.212045405
121.70404,0.632367594,0.384327716,74.82,12.298,8,4,0,1,116.286,0.38293509
235.91138,0.384720138,0,100.145,10.203,1,4,0.427,1,227.091,0.210316817
235.41506,0.508971308,0.34209665,129.318,5.492,4,4,0.456,1,230.075,0.334706549
219.19302,0.700446614,0.528795206,176.153,7.736,4,4,0,1,212.41,0.550647153
282.69669,0.657883116,0.464886257,84.064,12.714,2,3,2.438,1,261.59,0.489038209
107.57179,0.447863929,0.324434794,108.917,9.883,10,1,0,0,105.198,0.327736683
243.722,0.75504135,0.458592025,126.105,4.852,9,4,0.165,1,239.56,0.47212112
230.42567,0.840432422,0.608849019,86.82,5.981,4,4,0.212,0,224.177,0.704963317
311.53587,0.713322147,0.473613189,106.742,12.743,0,4,0.112,1,306.022,0.687470641
197.19791,0.645192339,0.47122433,127.782,29.75,4,4,0.276,1,187.582,0.631600818
255.73832,0.81592342,0.555138322,101.167,5.724,9,1,0.156,1,252.012,0.474054831
367.41179,0.499939221,0.37444943,174.57,9.249,1,4,0.078,1,357.518,0.215080319
222.92853,0.687687486,0.406686099,93.056,9.035,1,4,0,1,216.3,0.588922168
156.96934,0.929030287,0.750426551,127.547,20.816,4,1,0.322,0,142.286,0.652835695
392.4371,0.274613283,0,130.316,18.245,9,5,7.129,0,365.273,0.2
280.21506,0.780461749,0.574274731,173.205,3.306,5,5,0.238,1,275.528,0.597640798
146.83383,0.635757022,0.379436972,90.61,13.12,7,4,2.241,1,140.707,0.375984302
171.49342,0.572500601,0.368054039,136.915,14.876,8,1,0.179,1,171.493,0.525497119
233.01179,0.46689796,0.320165416,169.235,6.589,7,4,2.072,1,216.967,0.27829312
213.91628,0.679748141,0.458595403,91.981,8.983,0,4,0.166,1,203.099,0.553778846
267.20608,0.899934952,0.68365806,150.848,9.148,0,3,0.357,1,256.354,0.775023551
305.34485,0.612543004,0.459660463,118.052,7.232,6,4,0,1,291.358,0.728852131
205.21751,0.477180009,0.327954754,60.11,18.263,0,1,0.223,1,195.971,0.327736683
161.38404,0.274432948,0.26622954,138.25,15.01,5,4,0.251,0,155.783,0.24
168.51546,0.698770478,0.399451724,67.405,21.835,9,1,0.067,0,163.051,0.454727444
222.09261,0.822316236,0.508813195,106.769,7.974,10,4,0,1,216.195,0.678235925
43.51955,0.668087296,0.459387425,35.931,23.874,10,4,0,1,43.52,0.360370583
171.80689,0.593226735,0.363563852,167.954,4.134,0,1,0.168,1,167.869,0.239936824
529.91955,0.768695713,0.41759188,85.316,6.076,0,5,0.322,1,520.557,0.345802234
277.10649,0.645763147,0.34608409,88.761,17.91,1,1,0.357,1,263.924,0.375984302
283.74159,0.694021648,0.479407676,116.621,11.766,0,1,0.183,1,275.418,0.591758451
290.63791,0.825962346,0.506804744,123.635,6.664,4,4,0.131,1,283.51,0.533370878
194.79465,0.263087769,0.427926351,73.136,7.434,5,1,0,1,184.419,0.23
307.35628,0.615504103,0.439836359,135.982,7.769,6,4,0.288,0,295.753,0.514753324
242.52036,0.845373304,0.534429714,88.043,1.622,11,4,0.241,1,235.166,0.761878078
